"status","path","category","reason","commit_decision","risk","bytes","kind","rc_relation"
"M","apps/backend/src/tenant/tenant-timeline.service.ts","02-backend-application","release candidate replacement","include-release","medium","50993","text","direct"
"M","apps/backend/src/tenant/tenant.module.ts","02-backend-application","release candidate replacement","include-release","medium","11402","text","direct"
"M","apps/backend/src/traffic-control/traffic-control.service.ts","02-backend-application","release candidate replacement","include-release","medium","3790","text","direct"
"!!","apps/frontend/.env","14-acceptance-credentials-config","excluded by release policy","excluded-sensitive","critical","0","policy-path","excluded"
"!!","apps/frontend/.next/","12-build-output","excluded by release policy","excluded-runtime","low","0","policy-path","excluded"
"M","apps/frontend/components.json","01-frontend-application","release candidate replacement","include-release","medium","505","text","direct"
"M","apps/frontend/eslint.config.mjs","01-frontend-application","release candidate replacement","include-release","medium","1136","text","direct"
"D","apps/frontend/middleware.ts","10-old-retired-files","release candidate replacement","include-release","medium","0","deleted","direct"
"M","apps/frontend/next-env.d.ts","01-frontend-application","release candidate replacement","include-release","medium","288","text","direct"
"M","apps/frontend/package.json","01-frontend-application","release candidate replacement","include-release","high","2926","text","direct"
"M","apps/frontend/postcss.config.mjs","01-frontend-application","release candidate replacement","include-release","medium","108","text","direct"
"M","apps/frontend/src/app/(tenant)/activity/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","17259","text","direct"
"M","apps/frontend/src/app/(tenant)/analytics/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","18943","text","direct"
"M","apps/frontend/src/app/(tenant)/automations/rules/[id]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","284","text","direct"
"M","apps/frontend/src/app/(tenant)/automations/rules/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","179","text","direct"
"M","apps/frontend/src/app/(tenant)/automations/runs/[id]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","279","text","direct"
"M","apps/frontend/src/app/(tenant)/automations/runs/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","170","text","direct"
"M","apps/frontend/src/app/(tenant)/billing/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","14601","text","direct"
"M","apps/frontend/src/app/(tenant)/campaigns/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","21930","text","direct"
"M","apps/frontend/src/app/(tenant)/customers/[id]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","23208","text","direct"
"M","apps/frontend/src/app/(tenant)/customers/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","28646","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/archivio/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","173","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/attivita/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","326","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/automazioni/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","164","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/campagne/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","159","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/catalogo/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","167","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/clienti/[clientId]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","299","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/clienti/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","148","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/commercial/leads/[leadId]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","269","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/commercial/leads/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","233","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/commercial/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","164","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/commercial/pipeline/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","238","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/contratti/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","191","text","direct"
"M","apps/frontend/src/app/(tenant)/dashboard/dashboard-client.tsx","01-frontend-application","release candidate replacement","include-release","medium","11053","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/documenti/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","174","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/duplicati/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","152","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/fatture/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","184","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/impostazioni/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","171","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/notifiche/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","13791","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/ordini/[id]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","271","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/ordini/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","165","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/pagamenti/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","168","text","direct"
"M","apps/frontend/src/app/(tenant)/dashboard/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","353","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/preventivi/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","180","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/progetti/[projectId]/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","306","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/progetti/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","179","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/rinnovi/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","188","text","direct"
"??","apps/frontend/src/app/(tenant)/dashboard/scadenze/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","174","text","direct"
